stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.21,0
22Month,0.68,0.82,2.05,0.68,0.14,0.27,2.05,0.14,0.14,0.14,0,0,0.14,0,0,0.14,0,0.27
