stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0.85,0.56,0.85,0,0,0,0,1.97,0,0.85,7.05,0.56,2.82,0.28,0.28,389.51,10.43,0,0.56,3.66,0,1.69,0.85,0,0.28,0,0
21Day,0.37,0,4.07,0,7.03,0.37,0,0,0.37,6.29,0,0,2.59,0.37,2.59,0,0.37,179.07,2.59,0.37,1.85,2.59,2.59,1.85,0.74,1.85,0.37,0,0.74
3Month,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0.14,0,0,0.14,0.27,0.82,0,0,0.27,0,0,0,0.14,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0
