stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Fibroblast,Goblet.cell,Granulocyte,Granulosa.cell,Hatching.gland,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Pancreatic.macrophage,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,49,32,0,177,5,9,0,4,0,0,5,0,13,0,0,0,1,22,119,222,211,0,0,0,2,118,1107,0,0,0,31,0,0,0,0,0,0,4,0,0,0
72hpf,29.030349768332,18.6019716962127,0,102.592692385173,13.2468586321515,58.6243956486704,0,3.38217667203868,0,0,4.79141695205479,0,0,0,0,8.4554416800967,0.281848056003223,46.5049292405318,392.61434201249,16.0653391921837,123.167600473409,0,7.04620140008058,7.60989751208703,2.25478444802579,98.9286676571313,129.650105761483,3.10032861603546,2.81848056003223,0,119.503575745367,1.97293639202256,0,0.563696112006446,18.6019716962127,1.40924028001612,0,8.4554416800967,0,0,0.281848056003223
21Day,66.5976348475708,9.24967150660706,9.61965836687134,526.861289016338,14.7994744105713,193.133141057955,0,86.5769253018421,0,5.91978976422852,20.3492773145355,0,0,10.3596320873999,11.0996058079285,99.1564785508276,25.1591064979712,24.7891196377069,321.518581569661,86.2069384415778,230.131827084384,0,0.739973720528564,35.8887254456354,0.739973720528564,75.1073326336493,74.3673589131207,5.54980290396423,9.61965836687134,0,100.636425991885,29.5989488211426,0,3.32988174237854,12.2095663887213,6.2897766244928,14.7994744105713,6.2897766244928,0,0,63.6377399654565
3Month,3.4325612192742,29.228778867153,14.4583639236095,541.8245876121,4.68076529901027,0,7.90529250499512,7.38520747177176,1.04017006644673,79.5730100831746,251.929190093397,0.624102039868036,0,315.379564146647,244.856033641559,21.8435713953813,150.92867664142,33.9095441661633,146.767996375633,127.940918172947,100.272394405464,24.3399795548534,0.728119046512708,72.6038706379815,18.7230611960411,11.441870730914,1.87230611960411,22.7797244551833,14.6663979368988,0,6.86512243854839,13.4181938571628,0.728119046512708,195.343938478695,2.39239115282747,0.208034013289345,0,1.24820407973607,27.2524557409042,149.264404535105,177.557030342456
22Month,1.91309204783386,49.7403932436805,19.4042193423149,214.266309357393,2.049741479822,0,7.92566705531172,9.56546023916932,1.09319545590506,62.9953881465294,691.036177563989,54.6597727952532,0,464.198120463688,133.91644334837,46.0508585800009,235.993569043506,10.1120579671218,40.7215307324637,220.825482092823,101.667177399171,4.37278182362026,8.74556364724052,46.7341057399415,2.32304034379826,10.7953051270625,3.14293693572706,24.1869494618996,26.9199381016622,4.37278182362026,6.55917273543039,1.77644261584573,0,48.9204966517516,9.29216137519305,5.19267841554906,0,0.683247159940666,6.28587387145412,0.683247159940666,81.7163603289036
