stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,1,0,0,0,2,0,93,0,0,0,0,0,0,0,1,0
72hpf,0.28,0,0,0,0,0.28,0.28,0,0.28,39.18,33.82,0,0.28,0.28,0,0.28,3.66,2.25,0,0
21Day,0,0,0.74,0,0,0,0,1.11,0,5.55,12.21,0,0,0,0.37,0,3.7,5.92,0.37,0.37
3Month,0,0,0,0,0,0.21,0,0,0,0,0.21,0,0,0,0,0,0,0,0.31,0
22Month,0,0.14,0,0.14,0,0.68,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0
