stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,45.94,0,0.56,0,0,1.69,0.28,0,0,0,0,0.28,0,0
21Day,0,0,0,7.4,0.74,0,0,0,0,0,0.37,0,0,1.85,0.37,0,1.11,0,0.74,0,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0,12.59,0,0.1,0.21,0.21,0.52,0.21,0,0.52,2.29,0.1,0.21,0.21,0.21,0.42,0,0,0.1,0.21,0.21,0.1,0,0.1,0.21
22Month,0,0.41,0.14,4.1,0,0.14,0,0,1.91,0,0,0.14,0.55,0.27,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0
