stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,48,0,0,0,0,0,0,0,0,2,0,0
72hpf,3.1,0.56,0,2.54,0.28,1.97,0,0,0,0,0,0,0,0,1.97,12.4,0.56,5.92,0,0.28,0.28,0,321.02,51.3,0.85,24.24,8.17,0.28,0,78.64,0.28,0.28,0.85,0,0
21Day,1.85,0,0.74,4.81,0.74,6.29,0,0,0.37,0,0.74,0,0,0.74,0.37,1.85,0.74,13.69,0,0,0,0,151.32,14.43,3.33,20.72,2.59,3.7,0,34.78,2.22,0.74,0.37,0,0.74
3Month,0,0.1,0,1.77,0.1,0,0.21,0.31,0.42,0,2.7,0.31,0.21,1.04,0.1,0.62,0.52,4.26,0.31,0,0.52,5.1,0.94,0.1,3.85,3.33,0.1,0.21,1.77,0.31,0,0,0.1,0.21,0.21
22Month,0,0.14,0.14,1.23,0,0,0.14,0.27,0.82,0.27,7.11,0.41,0,0.68,0,0.82,0.14,3.14,0,0,0.14,0,0.96,0.27,5.06,4.1,0,0,2.32,0.27,0,0,0,0,0.14
