stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,0,1.13,0,0.28,0.28,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0,0,1.85,0,0,0,0
3Month,0,0.1,0,0.62,0,0,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0.41,0.14,2.19,0.14,0.27,0,0.14,0.27,0.27,0.14,0.14,0,0,0,0
