stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,3,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,0.85,0.56,0.56,0,0,0,0,0,0,0,0,0,0,1.13,3.38,0.28,2.82,0,0.28,0,0,16.07,6.76,0,0.28,0,7.61,0,0,0,0.56,0,0,0.28,0,0
21Day,0.37,0.74,0,6.66,0.74,1.11,0,0.37,0,0,0,0,0.74,0,1.48,0.74,0.74,4.07,3.33,5.92,0,0,0.37,0,4.81,3.7,0.37,0,0,3.7,0.74,0,0,0.37,0.37,0.37,0,0,0
3Month,0.1,0.31,0.42,6.45,0.1,0,0.21,0.1,1.14,1.46,0,0,17.58,2.81,0.21,3.54,0.42,1.87,2.81,2.08,0.42,0,0.52,0.1,0.52,0,0.21,0.1,0,0.1,0.21,0.1,0.52,0.1,0,0,0,0.52,1.46
22Month,0,0.41,0.41,2.19,0,0,0.14,0.27,0.96,2.87,0.55,0,23.5,1.5,0.14,2.73,0.14,0.41,2.87,1.09,0,0.68,0.55,0,0.14,0,0.41,0.27,0.27,0.14,0.41,0,0.14,0,0,0,0,0.14,1.64
