stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,4,6,0,0,0,4,0,0,0,0,1,0,0,0
72hpf,18.6,0.56,0,4.79,1.13,0.56,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0,7.33,0,0,0.28,7.33,3.38,0,0.28,0,10.71,0,0,3.95,0,0.85,0,0,0
21Day,34.04,0.37,0,10.73,0.37,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,4.81,0,18.13,0,0,1.48,5.18,3.7,0,0.74,0,8.88,1.48,0,1.11,0.37,0.37,0,0,0.37
3Month,2.6,3.64,0.1,17.89,0.42,0,0,0.21,0.62,1.66,0,0,14.15,0.73,0,1.56,1.98,14.87,1.56,15.5,3.54,0,2.7,0.62,0.1,1.46,2.18,0,1.87,0.42,3.85,0.42,0,0,4.26,1.25,1.14
22Month,1.23,4.51,0.14,5.19,0.14,0,0.14,0,0.14,0.55,2.19,0,47.01,0.27,0.41,1.23,1.37,2.32,1.5,13.12,1.09,1.09,0.55,0.41,0.27,0.41,1.64,0.27,1.91,0.14,2.6,0.68,0.55,0.27,0.68,0,0.14
