stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,8,2,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,0,10,267,2,0,0,0,0,0,0,0,1,0,0
72hpf,1.97,0.56,0,3.1,11.84,3.95,0,0,0.28,0,0,0,0.28,0,2.54,24.8,1.69,11.27,0,1.13,0.85,395.71,152.76,0.56,4.51,9.58,0.28,0,30.44,0.28,0.56,0.28,0,0
21Day,1.11,0.37,0.37,5.18,4.81,4.81,1.11,0,0,0,1.85,0,2.22,0.74,0.37,10.36,1.48,2.96,0,0,1.48,129.87,79.18,0,1.48,3.33,6.29,0.37,21.46,0.74,1.85,0.37,0,0.37
3Month,0,0.1,0,1.14,1.77,0,0.1,0,0,0,1.14,0.21,0,0.21,0,1.87,0.31,0.31,0.1,0,0.1,0.83,0.94,0,0,0,0.1,1.25,0.62,0,0,0,0.1,0.42
22Month,0.14,0,0.14,0.68,0.96,0,0,0.14,0.41,0,2.87,0.14,0.27,0.41,0,0.96,0.14,0.55,0,0,0.14,0.55,0.27,0,0.27,0,0,4.37,0.41,0,0,0,0,0.27
