stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,4.23,1.41,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,1.48,0,0,0,0,0,0,0,0,0,0,1.48,0.37,2.22,0,0,0.37,0,1.11,0.37,0,0,0,2.22,0,0.74,0,0.37,0,0,0
3Month,0.1,0.21,0,0.83,0,0,0.1,0.42,0,2.81,0.21,0,0.42,0.62,0.62,0.31,0.83,0.31,0,0.1,0.21,0.1,0.1,0.1,0.1,0,0,0.42,23.2,0,0,0.52,76.35,0.73
22Month,0.27,1.64,1.09,4.1,0.14,0.14,0.41,2.46,3.83,30.47,1.37,0.27,2.19,0.27,1.23,1.09,4.37,0,1.23,0.82,0,0.27,0,0.14,0.27,58.76,0,0,8.88,0.27,0,0.27,0.14,0.82
