stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,3.66,0,0,0.28,0,0.85,0,0,0,0,0,0,0,0.28,0.56,0,4.51,0,0.28,0,0,32.41,4.23,0,1.41,0,0,0,0.28,0,0,0
21Day,3.33,0,0,3.33,0.37,0.37,0,0,0,0,0,0,0,0,1.48,0,2.59,0,0,5.92,0,12.58,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0.52,0.52,0.1,9.26,0,0,0.73,0.62,0,4.06,0.21,0,0.42,0.21,6.55,0.31,1.35,0.21,0,1.56,0.1,0.31,0.21,0.52,0,0,0.83,0.21,0,0.94,14.67,0.31
22Month,0,1.23,0,4.65,0,0,0.14,0.68,0.27,7.79,0.27,0.14,0.96,0.14,2.05,0.27,0.55,0,0.27,1.23,0,0.55,0,0.68,0.14,0,0.41,0.55,0,0.14,0,0.27
