stage,Endothelial_cell,Hepatocyte,Osteoblast,Retinal_cell,T_cell
72hpf,0,0,0.85,0,0
21Day,0,0,0,0.37,0.37
3Month,0,0,0,0,0.31
22Month,0.14,0.41,0,0,0.14
