stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,2,4,10,0,0,1,0,1,0,0,2,3,12,10,0,1,65,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0
3Month,0,0,0.31,0.1,0.21,0,0,0,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0.1,0.31,4.58,0.1
22Month,0,0,0.55,0,0,0,0.14,0,5.33,0.14,0,0,0,0,0.68,0,0,0,0,0,0,0.14
