stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,253,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,121.48,0.56,0,1.13,0.85,0.56,0.28,0,0,0,0,0,0,0,0.56,1.41,0.56,5.07,0,7.05,0.28,20.29,11.84,0,0,3.1,0,0,0.28,0,0.28,0,0,0
21Day,137.27,0.37,0,4.07,0,2.96,0,0,0,0,0.37,0,1.48,0.37,0,1.48,0.74,10.73,0.37,19.24,0,3.7,3.7,0,0.37,2.96,3.7,0,0,0.74,0.74,0.37,0,0.37
3Month,2.18,0,0.1,1.25,0,0,0,0,0.1,0.21,0.31,0,0.1,0.31,0.1,0.42,0.1,0.52,0,2.39,0,0,0,0.1,0,0,0.1,3.12,0,0,0,0,0.42,0.1
22Month,0.41,0.14,0,0,0,0,0,0.14,0,0.14,0.82,0.14,0.14,0.27,0,0,0.14,0.14,0,0.55,0,0.14,0,0,0.14,0.14,0,0.55,0.14,0,0,0,0,0.55
