stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,3,2,5,4,0,0,0,4,31,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.41,0.28,0,3.1,0.85,0,0.28,0,0.28,0,0,0,0,0.56,0,2.82,6.2,0.85,3.38,0.28,0,0.28,21.98,12.4,0,0,3.66,0,0,1.13,0,0.56,0,0,0
21Day,3.7,0.74,0,10.73,6.29,0,2.96,0,0.74,0,0,0.74,0,6.29,1.48,0.74,4.81,3.7,7.4,0,1.11,0,10.36,9.99,0,0.74,2.22,1.11,0,0.37,0.37,0.37,0,0,4.44
3Month,0.1,0.21,0.42,8.74,0,0.42,0.21,0.73,3.33,0,0,10.61,1.46,0.73,3.54,0.62,3.02,3.43,1.87,0,0.94,0.1,0.42,0.31,0.31,0.21,0,0.21,4.89,0.1,0,0.1,0.94,6.66,3.33
22Month,0,0.96,0,2.05,0,0.14,0,0.41,2.32,0.27,0,15.17,0.41,0.55,4.78,0.14,0.14,2.87,1.37,0.41,0.55,0,0.14,0,0.68,0.27,0,0.27,0.55,0.14,0.27,0,0.27,0,0.96
