stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.1,0,0,0,0,0,9.02,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0.74,0,0,0,0,0.37,2.22,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0,2.29,0.1,3.02,0.1,0.1,0.1,2.6,0.21,0,0,0.1,0,0,0.21,0.1,0,0.1,0.1
22Month,0.27,0,1.23,1.23,9.02,0,0.68,0,1.78,1.5,0.55,0.14,0.41,0,0.14,0,0.14,0.27,0,0
