stage,Endothelial_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,1,0,0,0,0
72hpf,0,0.56,0.28,0.28,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0
3Month,0,0,0,0,0,0.62,0,0.42
