stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,11,4,56,2,1,0,0,0,0,6,0,0,0,4,6,13,64,0,0,1,29,734,2,0,16,0,0,0,0,0,4,0,0
72hpf,1.41,0.28,1.69,0.56,0.56,0,0,0,0,0,0,0.28,0,0.28,0.28,0,3.66,0,0,0,18.32,20.01,0,0,0.85,0,0,1.41,0.28,0,0.28,0,0
21Day,1.11,0.74,2.22,0,5.18,0,3.33,0.37,0,0,0,0,0,0.37,0,0,2.59,0,0.37,0,5.55,8.51,0,0,1.11,0,0,0.37,0.74,0.37,0.37,0,0.37
3Month,0,0,1.25,0,0,0.1,0,0.1,0,0,2.39,0.21,0.21,0,0.31,0.83,0.42,0.1,1.14,0,0,0,0.21,0,0,0.1,5.93,0,0,0,0,1.04,0.21
22Month,0,0,0.27,0,0,0,0,0.41,0.41,0,2.19,0.14,0.68,0,0,0.96,0.14,0,0.14,0,0,0,0,0.41,0,0,1.5,0,0.27,0,0,0,0
