stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.28,0,0.56,0.56,0,0,0,0,0,1.13,0.28,24.24,2.54,0,0,1.41,0,0
21Day,0,0.37,0.37,0,0.37,0.37,0,0.74,0.37,4.07,1.11,16.28,1.11,0,0.37,1.11,0.74,0.37
3Month,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
