stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.42,0.1,0.1,5.51,0.31,0.1,0.1,0.83,1.25,0,12.07,1.46,0.42,3.43,0.31,2.81,1.25,1.66,0.52,0,0.42,0.1,0.31,0.21,0.21,0,0.1,0.62,4.16,0,0,0.31,1.25,0.73
22Month,0.14,0.96,0.27,3.01,0.41,0,0,0.55,3.83,1.64,43.45,0.68,0.55,5.06,0.14,0.96,2.32,2.87,0,1.09,0.41,0,0.14,0.55,0.41,0.27,0,0.27,0.96,0.41,0.14,0,0,1.23
