stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,0.31,0,0.1,0.31,0,0.42,0.1,0.21,0,0,0,0.1,0,0,0,0.21
22Month,0.68,0.14,0.14,0.27,0.14,2.19,0.14,0.14,0.55,0,0.27,0.55,0.14,0.27,0,0.14,0.14,0.14,0
