stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0,0,0,0.37,0,0.37,1.11,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74
3Month,0,0.21,0.21,9.57,0,0.21,0,4.47,1.56,0,1.66,1.14,0.62,9.67,0.62,0.83,3.74,0.52,0.31,0,0.31,1.35,0.1,0.42,0,0,0,1.04,0,0,0.1,0.31,17.89
22Month,0.14,4.65,1.09,13.53,0,0.27,0.14,5.88,3.28,1.37,9.57,0.41,3.01,16.53,0.96,1.37,5.74,2.73,0,0.55,0.55,0.27,0,0.41,0.14,0.14,0.55,5.06,0,0.14,0.27,0,19.54
