stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,9,27,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.85,0,2.82,0.28,1.69,0.28,0,0,0,0,0,0.28,6.2,0.28,5.36,0,0.28,0.28,321.87,11.56,0.56,0.56,0,7.89,0,0,3.1,0.56,0,0.28,0,0
21Day,0,0,0,3.7,0,2.96,0,0,0,0,1.11,0.74,0.37,0.74,0.37,5.18,0,1.11,0,96.94,1.48,2.96,0.74,0,2.96,2.96,1.11,2.22,0.37,0.74,1.11,0,0.37
3Month,0,0.52,0.1,1.87,0,0,0,0.21,1.35,0.42,0,0.31,0.21,1.25,0.42,2.29,0.31,0.73,0.1,2.18,0,2.81,0.1,0,0,0.1,10.82,0.21,0,0,0.1,0.83,0.21
22Month,0,0.27,0,1.23,0,0,0,0.14,2.87,0,0,0.96,0.14,0.14,0.27,1.37,0,0.27,0,0.96,0,1.78,0.41,0.41,0,0,11.21,0.14,0.14,0,0,0,0.14
