stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,1,1,0,0,0,0,0,0,1,2,0,0,19,0,0,0,0
72hpf,0,1.13,0,0,0,0,0.28,0.85,0.28,1.41,0.28,11.56,5.36,0.28,0.56,0,0
21Day,0.37,1.48,0.37,1.11,0,0,0,0.74,0,2.59,0,5.18,2.22,0,0.37,0.74,0.74
3Month,0,0.21,0,0,0.21,0.1,0,0,0,0,0,0,0,0,0,0,0
