stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,29.59,0.28,0.56,0,0,0.56,0,0,0
21Day,0.74,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,17.39,0.74,0,0.74,0.37,0.37,0.74,0,0
3Month,0,0.1,0,0.52,0,0.1,0.1,0.42,0.73,0.21,0.1,0.21,0.21,0,0.1,0.1,0.1,0,0,0,0.31,0,0,1.35,0.1
22Month,0,0,0,0,0,0,0,0.41,3.14,0.14,0,0,0,0,0,0,0,0,0.14,0.14,0.14,0,0,0,0.14
