stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,7.33,0,0,0,0,0,0,0.28,0,1.69,0,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0.37,0,0.37,8.14,0.37,0,0,0,0,0,1.48,0.37,0,0,0,0.74,0,0.74,0,0.74,0,0,0,0.37
3Month,0,0.1,0.42,0.94,0,0.1,0.1,0,0.42,0.1,0.1,0.31,0.1,0,0.1,0,0,0.1,0,0,0.52,0.1,0.31,2.6
22Month,0,0,0.14,0.27,0,0,0.14,0.27,1.64,0.14,0,0,0.14,0.27,0.27,0.14,0.14,0,0,0,0.41,0,0,0.96
