stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0,0,0.1,0,0,0,0,0.52,0,0,0.31,0,0.21,0.42,0,0,0,0,0,0,0,0,0,0.1,0.21
22Month,0,1.09,1.5,3.14,0.14,0.55,0.96,3.42,9.57,0.14,0.96,11.75,0,0.82,3.42,0.96,0.14,0.14,0.14,0.14,0,0.27,0.14,0.55,0.14,3.01
