stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,3,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,43,0,0,0,1,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0.28,0,0,0,1.41,18.6,1.13,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,1.85,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,5.55,1.11,0.37,0,0,0.37,0,0,0.74,0,0,0,0
3Month,0.1,0.1,0.21,2.5,0,0.1,0.1,0.21,0,0,6.03,0.83,0.1,0.83,0.62,0.83,0.73,1.46,0.42,0,0.1,3.95,0.21,0,0.31,0,0,0.21,0,5.1,0.31,0.21,0.52,0.83,0.52
22Month,0,1.09,0.14,2.19,0,0,0.27,1.91,7.11,0,24.73,2.19,0.41,3.14,0.27,0.82,1.09,2.46,0,0.55,0.14,0.14,0.55,0,0.55,0.14,0.14,0,0.14,2.19,1.64,0,0.14,0,0.14
