stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,5.92,0.28,0,0,0,1.41,1.13
21Day,0,0,0.74,0.37,0,0,0,0,0.37,0,0.37,0,1.48,0,0,0.37,0,1.11,1.85
3Month,0,0.1,0.1,0,0,0,1.14,0.1,0.31,0.1,0.21,0,0,0,0.1,0,0.42,0,0.1
22Month,0,0,0.55,0,0.14,0.14,5.19,0.55,0,0,0.27,0.14,0,0,0,0,0.68,0.68,0
