stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,5.36,0,0,0.85,0,0,0,0,0,2.82,41.71,0.28,0,0,3.1,0.85,1.13,0,0.28,0,0
21Day,0.74,0.37,45.51,1.11,0,0,0.37,0,0,1.85,0.37,9.25,47.73,3.33,0,1.85,2.59,0.37,0,0,0,0.37,0
3Month,0,0,9.15,0,0.1,0.1,0.21,0.31,0.1,0,0.21,1.56,0.94,0,0.1,0.1,0.31,0,0,0.1,0,0,0.1
22Month,0,0,2.19,0,0,0,0,0.68,0,0,0,0.55,0,0,0,0,0.41,0,0,0,0,0,0
