stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0.37,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,1.48,0,0,0.37,0.74,0,0,0,0,0.37
3Month,0,0.42,0.1,2.81,0,0.1,0.1,0.42,0.1,6.14,0.52,0.1,2.7,0.1,0.52,0.62,0.42,0.21,0.21,0,0.21,0,0,0,0.31,0.31,0,0.31,0.21,0.73
22Month,0,0.41,0.14,0.96,0,0,0.27,0.14,0.82,7.52,0,0.27,3.96,0,0,0.27,0.27,0,0,0.14,0.14,0,0.14,0,0.14,0.14,0.14,0.14,0,0.27
