stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.41,0.28,0.56,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.21,0.52,0.1,0,0,0,0.1,0,0,0,0.1
22Month,0,0.14,0.96,0,0.41,0.14,0.27,0,0,0,0,0
