stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,1.13,0,0.85,0,0.28,0.56,0.56,1.13,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,6.29,0.74,0,0,0,1.11,0,0.37,0.37,0.37,0
3Month,0,0.1,0.94,0,0,0,0.1,0,0.1,0.1,0.1,0.31,0.1,0.1,0,0,0,0,0,0.1
22Month,0,0,0,0.14,0.27,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
