stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,13,1,0,0,0,0,0,0,0,0
72hpf,0.28,1.97,0.56,0,0,0,0,0,0,0,3.95,0,1.41,0,0,0,10.15,1.97,0.28,1.13,0,0,0.56,0,0.28,0,0
21Day,0,6.66,0.37,0,0,0,0,0,0,0,4.07,2.22,5.92,0,1.11,0,2.22,1.85,0,0.74,0.37,0,0,0.74,0,0,0.74
3Month,0.21,1.35,0,0.21,0.1,0.1,0.31,0.1,0.1,0.1,0.62,0.1,0.31,0.1,0.1,0.1,0.21,0,0.1,0,0,0.1,0,0,0,0.42,0.21
22Month,0,0.68,0,0,0,0,2.05,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
