stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0.85,2.82,0,0,0,32.41,11.27,0,0.28,0.85,0,0,0.28,0.28,0,0.28,0,0
21Day,0.37,0,0,1.85,0,0.74,0.74,0,0,0,0,0,0.74,0,0,2.96,0,1.85,0,0,0,5.18,0.74,0,0,0.37,0,0,0.37,0,0.37,0,0,0
3Month,0,0.31,0.1,2.7,0,0,0.1,0.52,1.46,0,3.33,0.73,0.21,1.25,0.21,0.62,0.94,0.83,0.31,0.73,0.1,0.21,0,0.31,0,0,0.21,0.52,0,0,0,0,0.21,0.52
22Month,0,1.09,0.27,0.96,0,0,0,0.41,1.91,0.68,12.98,0.55,0.14,1.23,0,0.27,1.23,0.55,0.27,0,0,0,0,0.14,0.68,0,0.14,0.41,0.41,0,0,0,0.14,0.14
