stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,1.69,0.28,0,0,0,4.79,0.56,0.28,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,7.77,0,0.74,1.48,0,0,0.37,0,1.11,0.74,0,0.37,0,0,0,0,1.11
3Month,0,0.62,0.21,1.04,1.04,39.01,0,0.21,0.21,2.7,0.42,0.21,0.1,0.1,0,0,0,0.1,0.21,0.1,0.1,0.1,3.54
22Month,0,0.14,0,0.41,1.64,10.39,0,0.41,0,7.24,0,0,0,0,0,0,0,0.14,0,0.55,0,0,1.5
