stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,746,2,0,15,2,2,0,0,0,0,2,0,0,0,1,1,4,7,110,0,0,0,0,3,255,0,2,0,0,0,0,0,0,0,0,0
72hpf,514.65,1.69,0,4.79,1.13,8.17,0,0.28,0,0,0,0,0,0,0,1.41,12.12,1.97,16.07,0,0.28,11.56,0.28,52.14,31.85,0.56,14.09,0,0.28,4.79,0.28,0.85,0.28,0,0,0
21Day,572,1.48,1.11,10.36,0.37,10.36,0,1.48,0.37,0.74,0,2.22,1.11,2.22,1.11,0.74,8.88,2.22,19.61,0,0,25.16,0.37,14.8,7.4,0,7.03,7.77,0.74,2.22,1.48,5.92,0,0,0,3.33
3Month,46.18,0.94,0,2.18,0,0,0.21,0.1,0.1,1.35,0,2.5,0.94,0.21,1.46,0.21,0.94,0.94,1.04,0.1,0.1,0.42,0,0.1,0,0,0,0.31,0.31,0,0,0,0,0.62,0.42,1.14
22Month,41.54,0.41,0,0.41,0,0,0.14,0,0.14,1.78,0,3.55,0.27,0.14,0.55,0.55,0.14,1.23,0.82,0,0.27,0.27,0,0,0.14,0.14,0,0,0,0,0,0,0,0.27,0,0.14
