stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,0,3,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0
21Day,0.37,0.37,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0,0.1,0,0.1,0,0,0,0,0,0,0.21
22Month,0,0,0,0.14,0,0,0.27,0,0.14,0,0
