stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.69,0,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0.37,2.59,0,0,0,0.37,0
3Month,0.42,0.73,0.52,7.8,0.1,0.1,1.87,3.95,0,15.71,6.14,0.21,6.03,1.66,3.22,4.26,4.26,0.52,0,1.04,1.87,0.73,0.1,0.94,0.73,0.21,3.33,450.71,0.62,0.1,1.87,316.21,2.7
22Month,0,0.14,0,0.41,0,0,0,0.41,0.27,5.19,0.14,0.14,0,0,0,0,0.55,0,0.14,0,0,0,0,0.27,0,0,0.14,12.71,0.27,0,0,0.41,0.14
