stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,1,0,1,0,1,14,0,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.28,0.56,0,1.69,3.66,0,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0,0,0.74,0,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,7.07,0,0.1,2.39,1.35
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0
