stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0,0,0.28,0,0.85,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0.37,8.14,0,0,0,0,0.74,0
3Month,0.1,0.52,0.62,9.67,0,0.52,0.1,0.1,1.98,2.5,0.1,0,12.9,2.7,0.62,4.47,1.56,3.02,2.7,2.81,0.21,1.14,1.66,0.94,0,1.25,0.83,0,0.21,4.68,465.16,0.83,0.21,0.31,1.77,209.8,2.29
22Month,0,0.14,0,0.41,0,0.14,0,0,0,0.27,0,0,4.92,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0.14,0.14,0.14,2.19,0,0.14,52.06,0,0,0,0,0.41,0.14
