stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.85,0,0.56,0,0
21Day,0.37,0.37,0.37,0,0,0,0,1.11,0,0,0,0
3Month,0.94,0,0,0.31,0.31,0.21,0.73,0.1,0.1,0,0.1,0.1
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0,0
