stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0.37,0.37,0,0,0,0,0,0.37,0,0.37,0.74,32.56,0.74,0,0.37,0.37,0,0.37,0,0.37,0,0.37
3Month,0,0.73,0,0.1,0.1,0,0.31,0.1,0,0.21,0,0.1,6.55,0.21,0.1,0.1,0,0,0,0.21,0,0.21,0
22Month,0,0,0,0,0.41,0.14,1.64,0,0,0.14,0,0,6.56,0,0,0,0,0.14,0.14,4.24,0,0,0.14
