stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,1,16,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,3.1,0,0,0,6.2,0.85,0.85,0.56,0,0,2.54,0,0,0.56,0.28,0,0,0
21Day,0,0,0,2.22,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,3.33,0,0,0,4.81,0.37,1.48,0.37,0,0,1.48,0,0,0.74,0,0,0,0
3Month,0,0.94,0.1,3.22,0,0,0.1,0,0.42,1.04,0,0,1.35,2.81,0.1,0.52,0.31,2.39,0.94,3.85,0.31,0,0.1,37.76,0.1,0.21,6.24,0.31,0,0.31,0.73,3.64,0.52,0,0.1,0.62,0.42
22Month,0.14,0.68,0.14,2.05,0,0,0,0.14,0.68,1.78,0.41,0,7.11,0.27,0,0.27,0,0.14,1.23,1.64,0.14,0.41,0.27,0.68,0.14,0,6.01,0,0.14,0,0,1.09,0.27,0,0,0,0.41
