stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.85,0.28,0.56,0,0,0,0,0,0,0,0,0.85,0,4.23,0,0.28,85.68,3.66,0,0.56,1.41,0,0,0,0,0,0
21Day,1.11,1.11,0,0.37,0,0,0,0,0,0,0,0,0.74,0.37,1.85,0,0.37,20.35,1.11,0.37,0.37,2.59,0.37,0,0,0,0,0.37
3Month,0,2.39,0,0,0.1,0.31,0.1,0,1.04,0,0,0.31,0.73,0.1,0.31,0.21,0,0,0,0.1,0.1,0,0.1,0.94,0.1,0.21,0.42,0.1
22Month,0,2.73,0,0,0,0.41,0,0,1.78,0.27,0.41,0,0.14,0.27,0.55,0,0.14,0.27,0,0.14,0,0,0,0.14,0,0,0,0.14
