stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.14,0,0,0.21,0.1,0,1.04,0.21,0,0.62,0.73,0.94,0.42,0,0,0,0,0.21,0,0.52,0.1,0.42,2.81
22Month,0.14,1.91,0.14,0.14,0.96,0.14,0.41,4.65,0,0.27,7.38,0.27,1.64,0.55,0.14,0.55,0.14,0,0.27,0.14,1.09,0.14,0,2.32
