stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,5.55,1.11,0.37,0,0,0.74,0,0,0,1.11,0,0.37,2.59,0.37,2.22,27.01,0,2.96,0.74,0,0,1.48,0.37,0,0.74,0,1.11,0,0
3Month,0,0,0,0.83,0,0,0,0,0.83,0,0.42,0.42,0,0.52,0,0.1,0.62,0.1,0.31,0.21,0.1,0,0.1,0.1,0,0.21,13.83,0,0,0,6.45,0.42
22Month,0,0.14,0.14,0.82,0,0,0.14,0.41,2.19,0.14,2.6,0.27,0,4.65,0,0,1.09,0.96,0.96,0,0,0.14,0,0,0,0,3.55,0,0.14,0,0,0.14
