stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0.28,4.79,0.56,0.28,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0.37,0.37,0.37,0,7.77,0,0.37,0.37,0,0.37,0,0
3Month,0,0,0.1,0,0,0.21,0,0,0,0,0.21,0,0,0,0.1,0,0,0.1
22Month,0,0.14,0.68,0,0.14,1.09,0,0.55,0,0,0,0,0,0,0,0,0.14,0
