stage,Cardiomyocyte,Endothelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,1,0,1,0,0,3,0,0,0
72hpf,0,0.28,0,0.28,2.54,0.85,0.85,0,0
21Day,0,0,0,0.74,10.36,1.48,0.37,0.37,0.37
