stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,1.13,0,0,0,2.82,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0.37,0.37,0,0.37,0,0
3Month,0,0,0.1,0.1,0,0,0,0,0.1,0,0.52,0.1,0.1,0,0,0,0.1,0,0.52,0.1
22Month,0,0.14,0,0.14,0,0.27,0.27,0.14,0,0,0.41,0.14,0,0,0,0,0,0,0,0.14
