stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0.37,0.74,0,0.74,0.37,0,0,0.37,0,0,0
3Month,0.21,0.94,0,0.21,0.1,0.21,0.73,0.1,0.94,0.1,0.1,0.1,0,0.1,0,0.1,0,0.21,0.1,0
22Month,0,0.55,0,0,0.41,0.41,2.46,0.14,1.37,0,0.27,0.41,0.27,0,0,0.14,0,0,0,0.14
