stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,2.59,0,0,0,0,1.11,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,9.05,0.1,0,0.1,1.04,0.1,0.52,0.1,4.26,0.42,0.21,0.1,0,15.81,0.1,0,0.1,0.1,0.1,0,0,0.1,0.21,0
22Month,0,4.24,9.02,0.14,0.82,1.09,4.92,0.55,6.56,0.14,5.6,0.55,0.82,0,0.68,0.82,0,0,0,0,0.14,0.14,0.27,0,0,0.14
