stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,6.2,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,3.7,0,0,1.11,0,0.37,0,0,0.37
3Month,0,0,0.83,0,0,0,0,0.21,1.04,0.1,0.21,0.21,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.21,0.1
22Month,0,0.14,0.68,0.14,0,0,0.14,0.27,3.96,0,0.27,0.14,0.14,0.14,0,0,0,0,0,0.14,0,0,0,0
