stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,0.62,0.42,0.1,0.1,0,0,0.1,0.1,0.1,0.21
22Month,0.27,0,0.14,0.27,0.14,0.27,0,0.14,0.14,0,0.14,0,0
