stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0.56,2.54,0.28,0,0,1.13,0.28,0.56,0.28,0,0,0,0
21Day,0,0,5.92,0.37,0,0,0,0,0,0,0.37,0.37,11.1,0.37,0,0,1.11,0,0,0,0.37,0,0,0
3Month,0.1,0.1,1.35,0,0,0.83,1.04,0,0.31,0.21,0.1,0,0.1,1.25,0.31,0,0,0,0,0,0,0.1,0.21,0.73
22Month,0.14,0,0,0,0.14,0,0.55,0.14,0.68,0.27,0,0,0,0.96,0.41,0.14,0,0,0,0,0,0,0,0.14
