stage,Cardiomyocyte,Enterocyte,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0.28,0,0,0,1.41,0,0
21Day,0,0,0,0,0,0,0,0,1.11,0,0
3Month,0.1,0,0.1,0.1,0,0.1,0,0.1,0.21,0,0
22Month,0,0.14,0,1.37,0,0.14,0.14,0,0.27,0.14,0.14
