stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.41,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0,0.31,8.95,0.52,0.1,0.21,0.52,0,3.64,0.83,0.31,1.25,2.08,1.25,1.14,1.04,0.21,0.31,1.66,0,0.52,0.31,0.1,0.21,13.42,0,0.1,0.31,122.32,0.31
22Month,0,0.27,0,5.33,0,0,0,0.14,0.14,2.32,0,0.14,0.27,0.41,0.14,2.05,1.64,0,0,0.27,0,0.14,0,0.27,0,3.28,0,0.14,0,0.55,0
