stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,53.27,2.25,0.85,0.28,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,1.48,0.74,0,0,0,0,0,0,0,1.48,0.37,0.37,0,0,0,0,35.15,0.74,0.37,0.74,0.37,0,0.74,0.37,0,0,0,0.37
3Month,0,0.21,0.1,0.73,0,0.21,0.21,0,2.08,0.31,0.31,0,0.1,0.1,0.21,0.21,0,0,0.1,1.04,0,1.04,0.31,0,1.35,0,0,0,0,0.1,0.1
22Month,0,0.68,0,0.55,0,0,0.41,1.23,9.7,0.14,0.82,0.14,0,0.41,0.68,0,0.68,0.14,0.14,0.68,0,1.23,0.68,0,2.05,0.27,0,0,0.14,0,0
