stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,3,29,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,1.41,1.41,0,1.41,0,0,0,0,2.54,9.86,0,0,1.41,0.28,0,0.85,0,0,0,0,0,0
21Day,0.74,0,0,5.92,0.37,4.44,0,6.66,0,0,0,0,0,2.96,0,0,1.48,1.11,3.33,0,0,0.37,0,1.85,7.77,0,0,1.11,1.48,0.74,0.74,0,0.37,0.37,0,0,0.37
3Month,0,0.42,0,3.85,0,0,0.31,0.21,1.04,1.77,0,3.74,1.04,0.21,1.77,0.31,1.04,1.04,0.83,0.1,0,0.1,0.21,0.31,0.1,0.31,0,0,0.73,85.92,0.1,0,0,0.21,0.83,27.67,2.5
22Month,0,0.27,0.14,1.23,0,0,0.14,0.14,0.14,3.01,0.68,13.53,1.23,0.55,1.91,0,0.27,2.6,0.68,0,0.27,0.14,0,0.14,0,0,0.68,0,0.27,19.81,0.27,0.14,0,0,0,0.14,0.55
