stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0,1.13,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0.37,0
3Month,0,0,0,0,0,0,0,0,0,0.21,0.1
22Month,0,0.41,0.14,0,0.14,0.14,0,0,1.09,2.73,0
