stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0
72hpf,0,0,1.41,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0.56,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,4.44,0,1.48,0,0.37,1.11,0,0,0,0
3Month,0,0.21,1.04,0.31,0,0,0,1.87,0,0,0.31,0.42,0.1,0.73,0.31,0,0,0.21,0,3.64,0,0,0.1,1.04,0.62,0.1,0.62
22Month,0,0.41,0.55,0,0.68,0.27,0,6.29,0.14,0.14,0.41,0,0.68,0.96,0.14,0.14,0.27,0.41,0,3.42,0.14,0,0,0.55,0.55,0,0
