stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,0,7,0,0,0,1,0,0,0,1,0,15,0,0,92,241,0,0,2,0,0,0,0,0,0,0
72hpf,1.13,0,0.56,2.25,0,0,0,0,0,0,1.13,0.28,10.15,0.28,0,36.36,34.95,0.28,0,2.25,0,0,2.82,0,0.28,0,0
21Day,5.92,0,2.59,0,0.37,0,0,0,0,0,1.85,0.74,8.51,0,0,27.75,29.23,0,0.37,1.48,1.48,0.37,3.33,0.37,1.11,0,0
3Month,0.1,0,0.21,0,0,0,0,0.1,0,0.1,0.42,0,0.42,0,0.1,0.73,0,0.1,0,0,0.1,0.52,0.1,0,0,0,0.1
22Month,0,0.14,0.41,0,0,0.14,0,1.09,0.14,0,0.14,0.27,0.41,0,0.14,0.55,0,0.14,0.14,0,0,0.14,0,0,0,0.14,0
