stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.82,0.28,0,0,0,0,0,0,0,0,0,0.28,5.36,0,0.28,0,0.28,1.69,0.28,0.56,0,0,0.28,0,0,0
21Day,0.37,0,0,20.35,0,0.74,0,0,0,0,0,0,0,0.74,0.74,7.77,0.37,2.96,0,0,2.22,1.11,0.37,1.11,0,0.37,0.37,0,0.74
3Month,0,0.1,0,1.35,0,0,0.1,0.1,0,0,0.83,0,0,0.42,0,0.62,0.21,0.31,0,0,0,0,0,0.1,0.21,0,0,0.1,0.31
22Month,0,0,0.14,0.27,0,0,0,0.14,0.14,0.14,2.87,0.14,0.14,0.68,0,0.14,0.41,0.55,0.14,0,0,0,0,0,0,0,0,0,0.14
